,제목,채널,조회수,시간,부제목,링크
0,[양팀반응] 손흥민의 개막전 슈퍼골에 놀라는 토트넘 팬들 + 더 놀라는 맨시티 팬들? (토트넘 vs 맨시티),아이게스,34만회,11시간 전,토트넘의 영웅 손흥민 선수의 개막전 결승골에 대한 현지반응! 과연 어땠을까요? 함께 보시죠~,https://www.youtube.com/watch?v=DQg5bTNSlIE
1,"(후토크)'케인 없어도' 손흥민 맨시티 개막전 결승골 토트넘 놀라운 1-0승. 극찬, 최고평점! 탕강가, 모우라↑ [토트넘vs맨시티]",박문성 '달수네라이브' dalsulive,28만회,12시간 전,이것이 바로 손! 흥! 민! #손흥민 #토트넘 #탕강가 #모우라 #SonHM7 #Tottenham 광고문의 dalsu2019@naver.com,https://www.youtube.com/watch?v=kwh-aiYfIaE
2,"英 BBC ""케인 몸값이 2400억원? 손흥민은 2600억원!"" (맨시티전)",서형욱의 뽈리TV,21만회,10시간 전,"""No Harry Kane? No problem!"" ""케인이 없다고? 아무 문제 없어!"" #토트넘 #맨시티 #프리미어리그 개막전에서 맹활약을 펼친 #SONNY 손흥민에게 영국 언론...",https://www.youtube.com/watch?v=4iiONMdf7G8
3,호랑지빠귀 새끼를 삼키려던 누룩뱀의 최후,KBS동물티비 : 애니멀포유 animal4u,74만회,1일 전,2012.02.22 kbs 환경스페셜 '숲사냥꾼 어미로 산다는 것' 방송 #호랑지빠귀#애니멀포유#누룩뱀#동물#환경스페셜,https://www.youtube.com/watch?v=hQC_qcHOFnc
4,"과르디올라 패배 인정, ""우리는 손흥민처럼 골을 넣지 못했다"" (맨시티전 인터뷰+해외 팬 반응 총정리)",한준TV Footics,20만회,11시간 전,2021/2022 프리미어리그 1라운드 리뷰 토트넘 홋스퍼 vs 맨체스터 시티 경기 후 인터뷰 및 해외 팬 반응 채널에 가입하여 혜택을 누려보세요. https://www.y...,https://www.youtube.com/watch?v=P4DxLbb8_20
5,메시 환영축포?! 득점력 자랑한 PSG 공격진 [🇫🇷리그1 HL 2R PSG vs 스트라스부르],파리 습제르맹 - Paris SBS-Germain,93만회,1일 전,#음바페 #이카르디 #드락슬러 #사라비아,https://www.youtube.com/watch?v=vvIF9vAPeuo
6,"손흥민 원더골 보고 케인을 자극하는 현지팬들, 그리고 누누 감독이 남긴 한마디",김진짜 Real KIM,29만회,8시간 전,"[왓챠]에서 '김진짜'를 검색하시면 '확장판' 영상들을 만나 보실 수 있습니다. 손흥민 선수와 누누 감독의 인터뷰, 그리고 현지팬들의 반응을 담았습...",https://www.youtube.com/watch?v=8yNdBXmWhOo
7,헐리우드 파파라치 돼보기 【아메리카2】,빠니보틀 Pani Bottle,52만회,23시간 전,딱 걸렸을 때 오싹오싹 ------------------------------------------------------------------------- 카메라 Gopro9 Gopro Max Galaxy S21 Insta360 --------------------------------------------...,https://www.youtube.com/watch?v=FOzFmlwxeQE
8,[ENG] K-어린이들은 달고나 아니고 수제캔디🍭 지옥에서 온 라이언🦁 | Making Kakao Ryan handmade candy | 수제캔디 알바 리뷰 |워크맨 ep.112,워크맨-Workman,271만회,2일 전,"JOB것들아~~~♥ 인력소장이다,,,,~~~ 나때는 말여,, 수제 사탕이라고 하면,, 국자에다가,,, 그 뭐여,, 소다 넣어가지고,,~~ 별모양,,, 하트모양,,맹그는...",https://www.youtube.com/watch?v=u2PRxVZjokU
9,"사이다) 팔로워로 사람 차별하다 전따된 공주병 말기의 최후(사연,06) | [루대숲] - 20번째 사연",루디고 RUDYGO,87만회,2일 전,"💜루대숲 출연 신청 메일 💜 (연기 영상과 연락처, 경력 꼭 첨부 부탁드립니다) rudygo.love@gmail.com -출연자와 사연자를 비방하는 악플은 임의로...",https://www.youtube.com/watch?v=NBXaRW2wQ_s
10,이집트 점심한끼 200원,보겸TV,137만회,20시간 전,▶ 보겸의 일상/보이로그(VLOG) : https://url.kr/zn1GOK ▶ 먹방 : https://url.kr/Mrv7Dl ▶ 보튜브잡스 리뷰 : https://url.kr/it6OnQ ▶ 츄정님과 뜻밖의 동거 : https://url...,https://www.youtube.com/watch?v=QCMVsxYcC8M
11,"[sub] 🧳스페셜1 | 딸기게임 연습만 세번, 유언비어와 프로참견이 난무하는 현장 | 🧳출장십오야 스페셜",채널 십오야,112만회,2일 전,"#출장십오야 #스페셜 #유료광고포함 부르면, 달려 갑니다! 세계최초(?) 예능배달서비스 출장 십오야 스페셜! 다음주부터는 [송민호의 분실]이...",https://www.youtube.com/watch?v=IriQIkcJSUc
12,(예고몰카 3탄)미리 예고장으로 예고를 하고 예고한대로 조져버리는 몰카ㅋㅋㅋㅋㅋㅋㅋ이번엔 괴도퀴두의 예고를 피할 수 있을것인가?,보물섬,59만회,22시간 전,· – – 　· – 　– – 　· · · · 　· · · – 　– – · 　– 　– – 　· – · · 　· – 　· 　　　· – – – 　· 　– – 　· – · · 　·...,https://www.youtube.com/watch?v=KNwFN0a8_YM
13,[도장TV 17회] 연우&하영 집에서 어떻게 지내냐구요?? 이러고 놀아요 ㅋㅋㅋ,도장TV,168만회,2일 전,"이 영상은 유료캠페인입니다.(농식품부, 한국과수농협,농정원) #국산복숭아많이먹기캠페인 #복숭아농가살리기 #옳다우리과일 #도경완 #장윤정...",https://www.youtube.com/watch?v=Yzb1sq_-1Mg
14,"불면증인 줄 알았던 강아지 백억이.. 역대급 반전.. 소오름 ㅣThought Dog Who Haven't Slept For A Month Has Insomnia, But…?!",SBS TV동물농장x애니멀봐,51만회,1일 전,잠 한 숨 안자고 밤새 거실을 돌아다녔던 행동 수시로 몸을 덜덜 떨던 행동 이 모든 것이 백억이의 빅픽쳐를 위한 빌드업이었다면.. 믿으시겠습니까?...,https://www.youtube.com/watch?v=_nuZs2hY0GI
